scope,k,arm,n_persons,n_targets,n_seeds,n_attempts,successes,rate,ci_lower,ci_upper,tau,tau_lower,tau_upper
email,20,trained,25,25,3,75,75,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852
email,20,control,25,25,3,75,75,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852
email,24,trained,25,25,3,75,75,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852
email,24,control,25,25,3,75,75,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852
email,32,trained,25,25,3,75,75,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852
email,32,control,25,25,3,75,75,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852
email,48,trained,25,25,3,75,75,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852
email,48,control,25,25,3,75,75,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852
email,64,trained,25,25,3,75,75,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852
email,64,control,25,25,3,75,75,1.0,0.8668077490609515,1.0,0.0,-0.13319225093904852,0.13319225093904852
